"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",12,0,0,0,0,3,0,0,0,0,0,0,6,8,1,12,16,5,0,1,28,6,2,13
"2",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,6,13,12,13,3,1
"3",0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,3,5,3,0
"4",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,7
"5",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,11,2,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0
"8",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"9",0,0,0,0,0,1,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",15,6,21,15,1,3,0,1,0,0,0,6,0,9,1,0,0,0,7,2,0,0,3,12
"21",0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
"22",1,8,3,0,0,0,0,0,0,0,0,0,6,3,3,0,0,4,1,3,9,0,0,4
"23",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"24",1,8,2,0,0,0,0,0,0,2,2,0,0,1,6,4,1,1,7,5,2,0,0,3
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"27",0,0,0,12,0,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,3
"30",4,13,0,0,2,2,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"39",1,1,2,0,0,0,0,1,5,0,7,3,1,1,0,0,0,7,20,7,17,3,6,2
"40",1,0,0,0,0,9,11,0,3,14,10,1,9,19,21,4,0,3,1,0,1,0,6,0
"41",2,11,4,8,0,0,0,0,0,0,0,0,0,3,4,4,3,0,2,0,0,7,2,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,3,2,1,1,2,2,1
"43",5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,1
"46",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,1
"49",0,0,0,0,0,0,0,0,0,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0
